Circuits,Years_raced_on_circuit,No_of_years_raced_on_circuit,First_winner,Latest_winner,Fastest_lap_record_holder,Most_Wins,Grand_Prixs_Held,Longtitude,Latitude
Korea_International_Circuit,2010-2013,4,Fernando_Alonso-Ferrari-2010,Sebastian_Vettel-Red_Bull_Racing-2013,Sebastian_Vettel-Red_Bull_Racing-2011,Sebastian_Vettel,Korean_Grand_Prix,126.416667,34.733333
Indianapolis_Motor_Speedway,1950-1960,11,Johnnie_Parsons-Kurtis_Kraft-1950,Jim_Rathmann-Watson-1960,Jim_Rathmann-Watson-1960,Bill_Vukovich,US_Grand_Prix,-86.232778,39.798333
Indianapolis_Circuit,2000-2007,8,Michael_Schumacher-Ferrari-2000,Lewis_Hamilton-McLaren-2007,Rubens_Barrichello-Ferrari-2004,Michael_Schumacher,US_Grand_Prix,-86.232778,39.798333
Fuji_Speedway,1976-1977_2007-2008,4,Mario_Andretti-Lotus-1976,Fernando_Alonso-Renault-2008,Felipe_Massa-Ferrari-2008,James_Hunt_/_Fernando_Alonso_/_Lewis_Hamilton_/_Mario_Andretti,Japanese_Grand_Prix,138.926667,35.371667
Fair_Park,1984,1,Keke_Rosberg-Williams-1984,Keke_Rosberg-Williams-1984,Niki_Lauda-McLaren-1984,Keke_Rosberg,Dallas_Grand_Prix,-96.765556,32.781944
Donington_Park,1993,1,Ayrton_Senna-McLaren-1993,Ayrton_Senna-McLaren-1993,Ayrton_Senna-McLaren-1993,Ayrton_Senna,European_Grand_Prix,-1.379556,52.829806
Dijon-Prenois,1974_1977_1979_1981-1982_1984,6,Ronnie_Peterson-Lotus-1974,Niki_Lauda-McLaren-1984,Alain_Prost-McLaren-1984,Niki_Lauda_/_Alain_Prost_/_Keke_Rosberg_/_Jean_Pierre_Jabouille_/_Ronnie_Peterson_/_Mario_Andretti,French_Grand_Prix_&_Swiss_Grand_Prix,4.899167,47.3625
Detroit_Street_Circuit,1982-1988,7,John_Watson-McLaren-1982,Ayrton_Senna-McLaren-1988,Ayrton_Senna-McLaren-1987,Ayrton_Senna,Detroit_Grand_Prix,-83.041789,42.331530
Circuito_del_Jamara,1968_1970_1972_1974_1976-1979_1981,9,Graham_Hill-Lotus-1968,Gilles_Villeneuve-Ferrari-1981,Gilles_Villeneuve-Ferrari-1979,Mario_Andretti,Spanish_Grand_Prix,-3.585583,40.617111
Circuito_de_Jerez,1986-1990_1994_1997,7,Ayrton_Senna-Lotus-1986,Mika_Häkkinen-McLaren-1997,Heinz_Harald_Frentzen-Williams_1997,Alain_Prost_&_Ayrton_Senna,Spanish_Grand_Prix_&_European_Grand_Prix,-6.034167,36.708333
Circuito_da_Boavista,1958_1960,2,Stirling_Moss-Vanwall-1958,Jack_Brabham-Cooper-1960,John_Surtees-Lotus-1960,Stirling_Moss_&_Jack_Brabham,Portuguese_Grand_Prix,-8.67325,41.170472
Circuit_Mont-Tremblant,1968_1970,2,Denny_Hulme-McLaren-1968,Jacky_Ickx-Ferrari-1970,Clay_Regazzoni-Ferrari-1970,Denny_Hulme_&_Jacky_Ickx,Canadian_Grand_Prix,-74.609936,46.187707
Circuit_de_Nevers_Magny-Cours,1991-2008,18,Nigel_Mansell-Williams-1991,Felipe_Massa-Ferrari-2008,Michael_Schumacher-Ferrari-2004,Michael_Schumacher,French_Grand_Prix,3.164228,46.863242
Circuit_Bremgarten,1950-1954,5,Nino_Farina-Alfa_Romeo-1950,Juan_Manuel_Fangio-Mercedes-1954,Juan_Manuel_Fangio-Mercedes-1954,Juan_Manuel_Fangio,Swiss_Grand_Prix,7.410833,46.95
Charade_Circuit,1965_1969-1970_1972,4,Jim_Clark-Lotus-1965,Jackie_Stewart-Tyrrell-1972,Chris_Amon-Matra-1972,Jackie_Stewart,French_Grand_Prix,3.038889,45.747222
Caesars_Palace_Circuit,1981-1982,2,Alan_Jones-Williams-1981,Michele_Alboreto-Tyrrell-1982,Michele_Alboreto-Tyrrell-1982,Alan_Jones_&_Michele_Alboreto,Caesars_Palace_Grand_Prix,-115.175,36.117778
Bugatti_Circuit,1967,1,Jack_Brabham-Brabham-1967,Jack_Brabham-Brabham-1967,Graham_Hill-Lotus-1967,Jack_Brabham,French_Grand_Prix,0.225611,47.937694
Buddh_International_Circuit,2011-2013,3,Sebastian_Vettel-Red_Bull_Racing-2011,Sebastian_Vettel-Red_Bull_Racing-2013,Sebastian_Vettel-Red_Bull_Racing-2011,Sebastian_Vettel,Indian_Grand_Prix,77.535,28.350556
AVUS,1959,1,Tony_Brooks-Ferrari-1959,Tony_Brooks-Ferrari-1959,Tony_Brooks-Ferrari-1959,Tony_Brooks,German_Grand_Prix,13.251389,52.480556
Autódromo_Oscar_Alfredo_Gálvez,1953-1958_1960_1972-1975_1977-1981_1995-1998,20,Alberto_Ascari-Ferrari-1953,Michael_Schumacher-Ferrari-1998,Gerhard_Berger-Benetton-1997,Juan_Manuel_Fangio,Argentine_Grand_Prix,-58.459347,-34.694272
Autódromo_Internacional_Nelson_Piquet,1978_1981-1989,10,Carlos_Reutemann-Ferrari-1978,Nigel_Mansell-Ferrari-1989,Andrea_de_Cesaris-Williams-1989,Alain_Prost,Brazilian_Grand_Prix,-43.395,-22.975556
Autódromo_do_Estoril,1984-1996,13,Alain_Prost-McLaren-1984,Jacques_Villeneuve-Williams-1996,David_Coulthard-Williams-1994,Alain_Prost_&_Nigel_Mansell,Portuguese_Grand_Prix,-9.394167,38.750833
Aintree_Motor_Racing_Circuit,1955_1957_1959_1961-1962,5,Stirling_Moss-Mercedes-1955,Jim_Clark-Lotus-1962,Jim_Clark-Lotus-1962,Stirling_Moss,British_Grand_Prix,-2.940556,53.476944
Ain-Diab,1958,1,Stirling_Moss-Vanwall-1958,Stirling_Moss-Vanwall-1958,Stirling_Moss-Vanwall-1958,Stirling_Moss,Moroccan_Grand_Prix,-7.686762,33.578936
Adelaide_Street_Circuit,1985-1995,11,Keke_Rosberg-Williams-1985,Damon_Hill-Williams-1995,Damon_Hill-Williams-1993,Ayrton_Senna_/_Alain_Prost_/_Gerhard_Berger,Australian_Grand_Prix,138.617222,-34.927222
